name,phone,address,website
Paul & Jimmy's Restaurant,(212) 475-9540,123 E 18th St,https://www.paulandjimmys.com
Punch,(212) 673-6333,913 Broadway,http://www.punchrestaurant.com
Restaurant,(917) 388-3920,9 Spring St,http://restaurant.localsearch.com
Da Marino Restaurant,(212) 541-6601,220 W 49th St,http://www.damarino.com
Bobby Van's Steakhouse - 54th Street,(212) 207-8050,131 E 54th St,http://www.bobbyvans.com/54th-street.html
Johnny Rock,(212) 813-0003,930 3rd Ave,http://johnnyrock.localsearch.com
S'mac,(212) 358-7912,197 1st Ave,http://www.eatsmac.com
Pita Grill Restaurant,(212) 363-2333,69 New St,http://pitagrillrestaurant.localsearch.com
Vitae,(212) 682-3562,4 E 46th St,http://vitae.localsearch.com
Taqueria Y Fonda La Mexicana,(212) 531-0383,968 Amsterdam Ave,http://taqueriayfondany.com
Sparks Steak House,(212) 687-4855,210 E 46th St,http://www.sparkssteakhouse.com
Babbo,(212) 777-0303,110 Waverly Pl,http://www.babbonyc.com
Red House Restaurant,(212) 228-8288,203 E 14th St Frnt A,http://redhousenyc.com
El Presidente Restaurant,(212) 927-7011,3938 Broadway,http://elpresidenterest.com/index1.html
Firefly,(212) 966-8716,54 Spring St,http://www.fireflynyc.com
Hudson Falafel Restaurant,(212) 242-3939,516 Hudson St,http://hudsonfalafelrestaurant.localsearch.com
Gramercy Kitchen,(917) 265-8884,184 3rd Ave,https://gramercykitchen.nyc
Restaurant,(929) 324-3032,131 E 45th St,http://restaurant2659878.localsearch.com
Carbone Ristorante Italiano,(212) 290-2625,331 W 38th St,http://carboneristoranteitaliano.localsearch.com
Planet Hollywood,(212) 333-7827,1540 Broadway Frnt 1,http://www.planethollywoodintl.com/locations.php
Old Homestead Steakhouse,(212) 242-9040,56 9th Ave,https://www.theoldhomesteadsteakhouse.com/contact
Il Piccolo Bufalo,(212) 219-9068,141 Mulberry St,http://www.ilpiccolobufalo.com
Sofia's of Little Italy,(212) 219-9799,143 Mulberry St,https://www.facebook.com/sofiasnewyork
Casa Mono,(212) 253-2773,52 Irving Pl,http://www.casamononyc.com
Noi Due,(212) 712-2222,143 W 69th St,http://www.noiduecafe.com
Frankie's Spuntino,(212) 253-2303,17 Clinton St,http://www.frankiesspuntino.com
Pinto Restaurant,(212) 366-5455,118 Christopher St,http://pintorestaurant.localsearch.com
Esca Restaurant,(212) 564-7272,402 W 43rd St,http://www.esca-nyc.com
Dervish Turkish Restaurant,(212) 997-0070,146 W 47th St,http://www.dervishrestaurant.com
Georgio's Country Grill,(212) 977-1150,801 9th Ave,http://georgioscountrygrill.com
Mughlai Indian Cuisine,(212) 724-6363,320 Columbus Ave,http://mughlaiindiancuisine.localsearch.com
Nello,(212) 980-9099,696 Madison Ave,http://www.nytimes.com/2010/04/14/dining/reviews/14rest.html?_r=1
T.G.I. Fridays,(212) 681-8458,47 E 42nd St,http://tgifridays.com
Fiamma,(212) 653-0100,206 Spring St,http://fiamma41.com
Cipriani Club 55,(212) 699-4096,55 Wall St,http://cipriani.com
Harry's,(212) 785-9200,1 Hanover Sq,http://harrybarrestaurant.com
Mermaid Oyster Bar,(646) 516-9642,89 Macdougal St,http://www.themermaidnyc.com/?y_source=1_MjA2MzE2NjE4My01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Lavagna Restaurant,(212) 979-1005,545 E 5th St,http://www.lavagnanyc.com
Il Cantinori,(212) 673-6044,32 E 10th St,http://www.ilcantinori.com
Indian Road Cafe & Market,(212) 942-7451,600 W 218th St,http://www.indianroadcafe.com
Niko,(212) 991-5650,170 Mercer St,http://nikony.localsearch.com
Prima,(646) 559-4823,58 E 1st St,http://yellowpages.com/new-york-ny/mip/paul-jimmys-restaurant-2388948
Knife & Fork Restaurant & Wine Bar,(212) 228-4885,108 E 4th St,
Whitmans,(917) 261-2858,406 E 9th St,http://whitmansnyc.com
Sauce Pizzeria,(646) 983-4007,345 E 12th St,https://www.saucepizzeria.com
Steak Frites,(212) 675-4700,9 E 16th St,http://steakfrites.localsearch.com
Chelsea Gallery Restaurant,(212) 691-5454,72 7th Ave,http://chelseagalleryrestaurant.localsearch.com
Wildwood Barbeque,(212) 533-2500,225 Park Ave S Frnt 1,http://wildwoodbbq.com
Dublin House,(212) 874-9528,225 W 79th St,http://www.dublinhousenyc.com
Casa Nonna,(212) 736-3000,310 W 38th St,http://e2hospitality.com/restaurants/casa-nonna
Madison Restaurant,(212) 421-0948,965 1st Ave,http://www.madison1.com
Juniors,(212) 302-2000,1515 Broadway,https://www.juniorscheesecake.com/blog/restaurants/49thstreet
Sotto Cinque,(212) 472-5563,322 E 86th St,http://sottocinque.localsearch.com
Ben Benson's Steak House,(212) 581-8888,123 W 52nd St,http://benbensonssteakhouse.localsearch.com
Rocco's Pizza Joint,(212) 633-9555,162 7th Ave,http://www.roccospizzany.com
Duke's,(212) 949-5400,560 3rd Ave,http://dukes461824446.localsearch.com
Triomphe,(212) 453-4233,49 W 44th St,http://www.iroquoisny.com/triomphe
Kaijou,(212) 786-9888,21 S End Ave,http://kaijou.localsearch.com
Rafele,(212) 242-1999,29 7th Ave S,http://www.rafele.com
TGI Fridays,(646) 556-6381,34 Union Sq E,https://www.tgifridays.com
