user_id,signup_date,plan_type,usage_count,converted,churned
USR-0447,2025-06-22,Free,4,no,yes
USR-0264,2025-06-23,Pro,162,yes,no
USR-0207,2025-06-23,Free,1,no,yes
USR-0064,2025-06-23,Basic,50,yes,no
USR-0497,2025-06-25,Basic,57,yes,no
USR-0326,2025-06-25,Pro,85,yes,no
USR-0129,2025-06-26,Basic,14,yes,no
USR-0416,2025-06-26,Free,10,no,yes
USR-0335,2025-06-27,Free,9,no,no
USR-0098,2025-06-30,Free,7,no,yes
USR-0270,2025-06-30,Basic,54,yes,yes
USR-0485,2025-07-01,Basic,5,yes,no
USR-0152,2025-07-04,Pro,144,yes,no
USR-0379,2025-07-04,Basic,99,yes,no
USR-0051,2025-07-05,Pro,73,yes,no
USR-0135,2025-07-06,Pro,60,yes,yes
USR-0093,2025-07-06,Pro,72,yes,no
USR-0498,2025-07-07,Free,13,no,yes
USR-0330,2025-07-08,Pro,47,yes,no
USR-0353,2025-07-09,Pro,130,yes,no
USR-0384,2025-07-11,Free,5,no,yes
USR-0045,2025-07-12,Pro,190,yes,no
USR-0007,2025-07-12,Basic,12,yes,no
USR-0308,2025-07-13,Basic,19,yes,no
USR-0026,2025-07-13,Free,2,no,yes
USR-0483,2025-07-14,Free,21,no,yes
USR-0376,2025-07-17,Free,8,no,yes
USR-0317,2025-07-18,Pro,76,yes,no
USR-0165,2025-07-19,Free,23,no,no
USR-0110,2025-07-19,Enterprise,428,yes,no
USR-0150,2025-07-20,Basic,8,yes,yes
USR-0115,2025-07-24,Enterprise,321,yes,no
USR-0306,2025-07-24,Free,7,no,yes
USR-0327,2025-07-26,Free,6,no,yes
USR-0059,2025-07-26,Basic,8,yes,yes
USR-0124,2025-07-26,Enterprise,387,yes,no
USR-0151,2025-07-27,Free,3,no,no
USR-0382,2025-07-27,Free,3,no,yes
USR-0338,2025-07-28,Basic,44,yes,no
USR-0268,2025-07-28,Free,2,no,no
USR-0311,2025-07-29,Free,20,no,no
USR-0373,2025-07-30,Pro,33,yes,no
USR-0250,2025-07-30,Free,19,no,yes
USR-0477,2025-07-30,Basic,9,yes,no
USR-0091,2025-08-01,Pro,32,yes,no
USR-0109,2025-08-01,Basic,77,yes,no
USR-0137,2025-08-02,Basic,66,yes,yes
USR-0167,2025-08-04,Free,1,no,yes
USR-0071,2025-08-04,Basic,45,yes,no
USR-0161,2025-08-05,Free,6,no,yes
USR-0334,2025-08-06,Pro,68,yes,no
USR-0471,2025-08-07,Pro,96,yes,no
USR-0422,2025-08-07,Free,2,no,yes
USR-0453,2025-08-08,Pro,46,yes,no
USR-0116,2025-08-08,Free,13,no,no
USR-0329,2025-08-09,Basic,38,yes,no
USR-0030,2025-08-09,Basic,15,yes,no
USR-0062,2025-08-10,Free,15,no,no
USR-0314,2025-08-11,Free,11,no,yes
USR-0395,2025-08-11,Basic,63,yes,yes
USR-0037,2025-08-11,Free,1,no,no
USR-0198,2025-08-12,Basic,32,yes,yes
USR-0143,2025-08-12,Free,25,no,yes
USR-0413,2025-08-13,Pro,111,yes,no
USR-0086,2025-08-13,Free,8,no,yes
USR-0216,2025-08-13,Basic,65,yes,no
USR-0055,2025-08-13,Free,3,no,yes
USR-0356,2025-08-14,Pro,84,yes,no
USR-0410,2025-08-14,Free,25,no,yes
USR-0210,2025-08-14,Free,10,no,no
USR-0065,2025-08-14,Pro,238,yes,no
USR-0278,2025-08-14,Basic,27,yes,no
USR-0039,2025-08-15,Pro,42,yes,no
USR-0357,2025-08-18,Basic,15,yes,no
USR-0437,2025-08-18,Basic,41,yes,no
USR-0445,2025-08-18,Pro,160,yes,no
USR-0403,2025-08-18,Basic,26,yes,no
USR-0031,2025-08-19,Pro,103,yes,no
USR-0263,2025-08-20,Free,14,no,yes
USR-0414,2025-08-20,Free,27,no,yes
USR-0117,2025-08-22,Enterprise,188,yes,no
USR-0162,2025-08-22,Free,3,no,yes
USR-0398,2025-08-23,Basic,18,yes,no
USR-0102,2025-08-23,Free,12,no,no
USR-0139,2025-08-23,Free,1,no,yes
USR-0095,2025-08-25,Free,8,no,yes
USR-0159,2025-08-26,Pro,47,yes,no
USR-0299,2025-08-28,Basic,18,yes,yes
USR-0459,2025-08-29,Pro,110,yes,no
USR-0470,2025-08-29,Basic,26,yes,yes
USR-0005,2025-09-01,Basic,6,yes,no
USR-0282,2025-09-04,Basic,32,yes,no
USR-0463,2025-09-05,Free,1,no,yes
USR-0061,2025-09-10,Free,54,no,no
USR-0204,2025-09-10,Pro,110,yes,no
USR-0104,2025-09-10,Free,18,no,yes
USR-0157,2025-09-15,Free,1,no,yes
USR-0466,2025-09-15,Pro,126,yes,no
USR-0012,2025-09-17,Enterprise,525,yes,no
USR-0454,2025-09-18,Basic,122,yes,no
USR-0049,2025-09-18,Pro,161,yes,no
USR-0057,2025-09-21,Enterprise,211,yes,no
USR-0389,2025-09-21,Basic,5,yes,no
USR-0436,2025-09-21,Free,14,no,yes
USR-0472,2025-09-23,Free,2,no,yes
USR-0343,2025-09-24,Basic,36,yes,yes
USR-0450,2025-09-25,Free,11,no,yes
USR-0144,2025-09-25,Enterprise,286,yes,no
USR-0193,2025-09-25,Basic,8,yes,yes
USR-0494,2025-09-25,Basic,7,yes,yes
USR-0234,2025-09-26,Free,1,no,yes
USR-0321,2025-09-26,Enterprise,524,yes,no
USR-0230,2025-09-27,Basic,10,yes,no
USR-0289,2025-09-28,Free,2,no,yes
USR-0272,2025-09-28,Basic,124,yes,no
USR-0257,2025-09-28,Pro,139,yes,no
USR-0344,2025-09-28,Free,19,no,yes
USR-0120,2025-09-28,Basic,36,yes,no
USR-0336,2025-09-28,Free,3,no,no
USR-0013,2025-09-29,Pro,148,yes,no
USR-0478,2025-09-29,Free,5,no,no
USR-0488,2025-09-29,Free,22,no,no
USR-0411,2025-09-30,Basic,87,yes,no
USR-0202,2025-09-30,Free,3,no,no
USR-0126,2025-09-30,Basic,67,yes,no
USR-0417,2025-10-02,Pro,73,yes,no
USR-0001,2025-10-02,Basic,258,yes,no
USR-0008,2025-10-02,Basic,38,yes,yes
USR-0369,2025-10-03,Basic,9,yes,yes
USR-0284,2025-10-03,Free,5,no,yes
USR-0066,2025-10-05,Pro,230,yes,no
USR-0429,2025-10-05,Free,6,no,no
USR-0004,2025-10-06,Pro,18,yes,yes
USR-0166,2025-10-07,Basic,121,yes,no
USR-0415,2025-10-07,Pro,75,yes,no
USR-0288,2025-10-11,Free,13,no,yes
USR-0262,2025-10-11,Free,6,no,no
USR-0203,2025-10-12,Free,24,no,no
USR-0283,2025-10-12,Free,9,no,no
USR-0196,2025-10-12,Basic,15,yes,no
USR-0206,2025-10-12,Basic,13,yes,yes
USR-0201,2025-10-12,Free,0,no,no
USR-0362,2025-10-13,Pro,102,yes,no
USR-0178,2025-10-15,Enterprise,681,yes,no
USR-0346,2025-10-15,Basic,94,yes,no
USR-0281,2025-10-15,Free,12,no,no
USR-0440,2025-10-16,Free,6,no,no
USR-0452,2025-10-17,Pro,134,yes,no
USR-0433,2025-10-19,Free,3,no,yes
USR-0279,2025-10-19,Basic,70,yes,no
USR-0177,2025-10-20,Enterprise,600,yes,no
USR-0009,2025-10-21,Basic,41,yes,no
USR-0446,2025-10-21,Basic,42,yes,no
USR-0225,2025-10-22,Free,11,no,yes
USR-0236,2025-10-23,Free,9,no,yes
USR-0428,2025-10-23,Free,11,no,yes
USR-0400,2025-10-24,Free,5,no,yes
USR-0451,2025-10-25,Basic,13,yes,no
USR-0214,2025-10-25,Pro,138,yes,no
USR-0366,2025-10-26,Pro,152,yes,no
USR-0443,2025-10-26,Basic,32,yes,no
USR-0352,2025-10-27,Free,4,no,yes
USR-0305,2025-10-27,Basic,26,yes,yes
USR-0249,2025-10-27,Free,1,no,yes
USR-0171,2025-10-27,Basic,51,yes,no
USR-0253,2025-10-28,Free,10,no,yes
USR-0100,2025-10-28,Free,4,no,no
USR-0444,2025-10-28,Basic,164,yes,no
USR-0208,2025-10-29,Free,11,no,yes
USR-0215,2025-10-29,Free,12,no,no
USR-0016,2025-10-30,Free,6,no,yes
USR-0276,2025-10-30,Basic,19,yes,yes
USR-0127,2025-10-30,Basic,10,yes,yes
USR-0042,2025-10-30,Pro,31,yes,yes
USR-0163,2025-11-02,Pro,359,yes,no
USR-0044,2025-11-03,Pro,38,yes,no
USR-0303,2025-11-03,Free,3,no,no
USR-0111,2025-11-03,Free,16,no,no
USR-0101,2025-11-04,Basic,49,yes,yes
USR-0183,2025-11-05,Free,78,no,no
USR-0103,2025-11-07,Basic,13,yes,no
USR-0267,2025-11-08,Free,5,no,no
USR-0387,2025-11-10,Free,6,no,yes
USR-0148,2025-11-11,Free,10,no,no
USR-0388,2025-11-11,Basic,77,yes,no
USR-0426,2025-11-12,Basic,33,yes,no
USR-0465,2025-11-12,Free,21,no,no
USR-0233,2025-11-12,Free,15,no,yes
